INTDATE,AIRLINE,FLIGHT,DESTINATION,DESTGEO,DESTMARK,GATE,BAREA,STRATA,PEAK,HOWLONG,METHOD,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,SAQ,Q8COM1,Q8COM2,Q8COM3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHEKCRATE,Q12COM1,Q12COM2,Q12COM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,Q16LIVE,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL
13,8,242,18,3,4,58,3,1,2,80,1,2,-1,-1,2,-1,-1,-1,1,2,2,2,2,1,4,1,20,-1,-1,5,6,6,4,4,4,-1,-1,-1,5,8,-1,-1,1,5,2,-1,-1,1,3,5,5,2,-1,-1,-1,1,3,6,0,1,2,2,2,1,-1,5,5,5,4,3,3,3,3,6,4,5,3,6,6,4
12,38,1777,99,4,2,1,0,1,3,120,1,3,-1,-1,7,-1,-1,-1,2,2,1,1,1,1,3,1,-1,-1,-1,5,6,6,3,5,5,-1,-1,-1,5,5,-1,-1,2,0,-1,-1,-1,5,3,5,3,2,-1,-1,-1,3,13,6,2,4,1,2,2,1,-1,6,4,6,4,5,4,6,6,6,6,6,6,6,6,4
12,38,1777,99,4,2,1,0,1,3,105,1,2,-1,-1,6,-1,-1,-1,1,2,2,2,1,1,2,2,999,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,36,-1,-1,2,0,-1,-1,-1,6,5,5,5,2,-1,-1,-1,3,13,2,1,3,2,2,2,1,-1,4,4,4,5,5,5,5,6,3,6,6,6,6,6,5
13,8,242,18,3,4,58,3,1,2,20,1,3,-1,-1,2,-1,-1,-1,2,2,2,1,2,1,2,1,-1,-1,-1,5,6,6,6,6,5,-1,-1,-1,5,21,-1,-1,2,0,-1,-1,-1,7,4,5,5,2,-1,-1,-1,3,11,2,2,1,1,2,2,1,-1,6,6,6,5,5,5,3,3,4,4,6,6,6,6,4
12,38,1777,99,4,2,1,0,1,3,135,1,1,-1,-1,4,-1,-1,-1,2,2,1,2,3,1,4,2,-1,-1,-1,3,3,3,3,3,3,-1,-1,-1,3,6,-1,-1,2,0,-1,-1,-1,5,0,3,3,2,-1,-1,-1,1,1,3,1,0,2,2,2,1,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,38,1777,99,4,2,1,0,1,3,120,1,1,-1,-1,4,-1,-1,-1,2,2,1,1,6,1,2,2,103,403,-1,4,5,4,3,3,4,-1,-1,-1,5,1,-1,-1,1,5,-1,-1,-1,5,3,3,5,2,-1,-1,-1,0,99,0,0,0,0,0,0,1,-1,5,3,3,3,4,4,3,3,4,3,4,4,6,3,4
12,38,1777,99,4,2,1,0,1,3,135,1,1,-1,-1,4,-1,-1,-1,2,2,2,1,5,1,2,2,35,311,-1,5,4,4,4,4,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,6,4,3,4,1,3,-1,-1,1,2,4,1,4,3,1,2,1,-1,3,3,3,2,4,3,3,3,4,3,4,4,4,4,4
13,8,242,18,3,4,58,3,1,2,90,1,1,-1,-1,7,-1,-1,-1,2,2,1,2,3,1,4,2,103,202,-1,3,6,6,3,3,3,-1,-1,-1,4,-1,-1,-1,2,0,-1,-1,-1,9,5,3,3,2,-1,-1,-1,1,7,5,0,0,2,2,2,1,-1,3,2,3,3,3,2,6,6,6,3,4,6,4,6,2
12,38,1777,99,4,2,1,0,1,3,140,1,3,-1,-1,1,-1,-1,1,2,2,1,1,3,1,4,2,-1,-1,-1,5,5,5,5,5,5,-1,-1,-1,5,36,-1,-1,2,0,-1,-1,-1,7,4,3,4,2,-1,-1,-1,1,4,1,1,4,1,1,2,1,-1,5,4,4,3,5,5,4,4,5,3,4,6,4,4,4
13,8,242,18,3,4,58,3,1,2,60,1,3,-1,-1,2,-1,-1,-1,2,2,1,1,2,1,2,2,-1,-1,-1,5,6,6,4,4,4,-1,-1,-1,4,-1,-1,-1,2,0,-1,-1,-1,7,3,5,4,2,-1,-1,-1,1,4,2,2,1,2,1,2,1,-1,4,4,4,4,4,4,4,4,6,4,4,6,6,6,4
